DOI,title,author,year,times_seen
10.1124/jpet.105.094052,Is the Monkey an Appropriate Animal Model to Examine Drug-Drug Interactions Involving Renal Clearance? Effect of Probenecid on the Renal Elimination of H<sub>2</sub>Receptor Antagonists,Tahara,2006,1
10.1146/annurev.pharmtox.44.101802.121856,Transporters and Renal Drug Elimination,Lee,2004,1
10.1016/s0300-483x(02)00296-2,Transporters and xenobiotic disposition,Kim,2002,1
10.1074/jbc.273.16.10046,The Sister of P-glycoprotein Represents the Canalicular Bile Salt Export Pump of Mammalian Liver,Gerloff,2002,1
10.1097/01.ccm.0000194725.48928.3a,Sepsis in European intensive care units: Results of the SOAP study*,Vincent,2006,1
10.1001/jama.1995.03530120060042,"Incidence, Risk Factors, and Outcome of Severe Sepsis and Septic Shock in Adults",Brun-Buisson,2011,1
10.1086/320186,"Characterization of<i>Pseudomonas aeruginosa</i>Isolates: Occurrence Rates, Antimicrobial Susceptibility Patterns, and Molecular Typing in the Global SENTRY Antimicrobial Surveillance Program, 1997–1999",Gales,2002,1
10.1093/jac/42.2.128,Extended-spectrum beta-lactamases in Pseudomonas aeruginosa,Nordmann,2002,1
10.1097/inf.0b013e3182a743c7,Population Pharmacokinetics of Piperacillin/Tazobactam in Critically Ill Young Children,Cies,2013,2
10.1378/chest.11-1671,Subtherapeutic Initial β-Lactam Concentrations in Select Critically Ill Patients,Udy,2011,1
10.1086/514622,The Pharmacodynamics of β‐Lactams,Turnidge,2007,1
10.1093/clinids/6.supplement_4.s870,Failure of a Once-Daily Regimen of Cefonicid for Treatment of Endocarditis Due to Staphylococcus aureus,Chambers,2011,1
10.1186/cc11862,A randomized trial of 7-day doripenem versus 10-day imipenem-cilastatin for ventilator-associated pneumonia,Kollef,2012,1
10.1002/phar.2505,A guide to therapeutic drug monitoring of β‐lactam antibiotics,Fratoni,2021,1
10.1093/cid/cis856,"Continuous Infusion of Beta-Lactam Antibiotics in Severe Sepsis: A Multicenter Double-Blind, Randomized Controlled Trial",Dulhunty,2012,1
10.1056/nejm200103083441001,Efficacy and Safety of Recombinant Human Activated Protein C for Severe Sepsis,Bernard,2002,1
10.1111/resp.13115,The respiratory threat posed by multidrug resistant Gram-negative bacteria,Rodrigo-Troyano,2017,1
10.1016/s0140-6736(14)61136-3,The role of the microbiome in exacerbations of chronic lung diseases,Dickson,2014,1
10.1034/j.1399-3003.1999.13b21.x,Predisposing factors to bacterial colonization in chronic obstructive pulmonary disease,Zalacain,2003,1
10.1097/pcc.0000000000001497,Ceftaroline for Suspected or Confirmed Invasive Methicillin-Resistant Staphylococcus aureus,Cies,2018,1
10.1345/aph.1r216,Continuous and Extended Infusions of β-Lactam Antibiotics in the Pediatric Population,Walker,2012,1
10.1097/mcc.0b013e3282e2a98f,Continuous infusion of beta-lactams,Mouton,2007,1
10.1016/s0149-2918(04)90051-3,Pharmacokinetic properties and stability of continuous-infusion meropenem in adults with cystic fibrosis*1,KUTI,2004,1
10.5863/1551-6776-22.4.276,Population Pharmacokinetics and Pharmacodynamic Target Attainment of Meropenem in Critically Ill Young Children,Cies,2017,1
10.1002/phar.1476,Pharmacokinetics of Continuous-Infusion Meropenem in a Pediatric Patient Receiving Extracorporeal Life Support,Cies,2014,1
10.1093/cid/ciu027,DALI: Defining Antibiotic Levels in Intensive Care Unit Patients: Are Current  -Lactam Antibiotic Doses Sufficient for Critically Ill Patients?,Roberts,2014,2
10.1001/jama.2009.1754,International Study of the Prevalence and Outcomes of Infection in Intensive Care Units,Vincent,2009,1
10.1093/jac/dkaa468,Population pharmacokinetics and dosing optimization of azlocillin in neonates with early-onset sepsis: a real-world study,Wu,2020,1
10.1093/tropej/fmu017,Monotherapy with Amikacin or Piperacillin-Tazobactum Empirically in Neonates at Risk for Early-Onset Sepsis: A Randomized Controlled Trial,Tewari,2014,1
10.1002/jcph.566,Ceftolozane/tazobactam pharmacokinetic/pharmacodynamic‐derived dose justification for phase 3 studies in patients with nosocomial pneumonia,Xiao,2015,1
10.1128/aac.32.12.1845,Disposition of ceftazidime in surgical patients with intra-abdominal infection,Heim-Duthoy,2012,1
10.1097/cce.0000000000000446,Setting the Beta-Lactam Therapeutic Range for Critically Ill Patients: Is There a Floor or Even a Ceiling?,Barreto,2021,1
10.1007/s00134-017-4878-x,"Antimicrobial resistance in the next 30 years, humankind, bugs and drugs: a visionary approach",Bassetti,2017,1
10.1111/j.1749-4486.2009.01973.x,A controlled clinical trial of a therapeutic bacteriophage preparation in chronic otitis due to antibiotic-resistant<i>Pseudomonas aeruginosa</i>; a preliminary report of efficacy,Wright,2009,1
10.1099/00222615-37-4-258,Treatment of experimental infections of mice with bacteriophages,SOOTHILL,2009,1
10.1128/cmr.3.4.293,Branhamella catarrhalis: an organism gaining respect as a pathogen,Catlin,2016,1
10.3389/fphar.2019.01191,Antibiotic Treatment of Suspected and Confirmed Neonatal Sepsis Within 28 Days of Birth: A Retrospective Analysis,Wagstaff,2019,1
10.1016/s0140-6736(17)31002-4,Neonatal sepsis,Shane,2017,1
10.1016/s0140-6736(09)60071-4,"Granulocyte-macrophage colony stimulating factor administered as prophylaxis for reduction of sepsis in extremely preterm, small for gestational age neonates (the PROGRAMS trial): a single-blind, multicentre, randomised controlled trial",Carr,2009,1
10.1002/14651858.cd000361.pub2,Intravenous immunoglobulin for preventing infection in preterm and/or low birth weight infants,Ohlsson,2004,1
10.1093/clinids/12.supplement_4.s392,Immunotherapy and Immunoprophylaxis in the Newborn Infant: The Need for Definitive Clinical Trials,Johnston,2011,1
10.1093/cid/cis545,Does the Piperacillin Minimum Inhibitory Concentration for Pseudomonas aeruginosa Influence Clinical Outcomes of Children With Pseudomonal Bacteremia?,Tamma,2012,1
10.1016/j.ijantimicag.2007.06.015,Pseudomonas aeruginosa bloodstream infections: how should we treat them?,van Delden,2007,1
10.1002/phar.1567,"Pharmacokinetics of Continuous-Infusion Meropenem for the Treatment of <i>Serratia marcescens</i>
 Ventriculitis in a Pediatric Patient",Cies,2015,1
10.1093/jac/dkx093,Dose optimization of piperacillin/tazobactam in critically ill children,De Cock,2017,1
10.1007/s00467-008-0997-5,Human renal function maturation: a quantitative description using weight and postmenstrual age,Rhodin,2008,1
10.1016/s0272-6386(00)70341-6,Mouse to elephant: Biological scaling and Kt/v,Singer,2008,1
