DOI,title,author,year,times_seen
10.1128/aac.01466-19,"Simultaneous Infection with
            <i>Enterobacteriaceae</i>
            and Pseudomonas aeruginosa Harboring Multiple Carbapenemases in a Returning Traveler Colonized with Candida auris",Khan,2019,6
10.1128/aac.01733-10,Population Pharmacokinetics of Colistin Methanesulfonate and Formed Colistin in Critically Ill Patients from a Multicenter Study Provide Dosing Suggestions for Various Categories of Patients,Garonzik,2011,3
10.1016/0020-7101(94)90100-7,Design of dosage regimens: A multiple model stochastic control approach,Bayard,2005,1
10.1007/bf01061210,APriori lithium dosage regimen using population characteristics of pharmacokinetic parameters,Gaillot,2005,1
10.1128/jb.59.5.625-643.1950,"THE EFFECTIVE CONCENTRATIONS OF PENICILLIN IN VITRO AND IN VIVO FOR STREPTOCOCCI, PNEUMOCOCCI, AND TREPONEMA PALLIDUM",Eagle,2020,4
10.1001/jama.1949.02900260001001,DISCONTINUOUS THERAPY WITH PENICILLIN,TOMPSETT,2011,1
10.1128/aac.00103-06,"Heteroresistance to Colistin in Multidrug-Resistant
            <i>Acinetobacter baumannii</i>",Li,2006,1
10.1128/aac.46.10.3304-3307.2002,Simple Method for Assaying Colistin Methanesulfonate in Plasma and Urine Using High-Performance Liquid Chromatography,Li,2002,1
10.1097/00007691-200010000-00014,High-Performance Liquid Chromatographic Method for the Determination of Colistin in Serum,Le Brun,2003,1
10.1016/0378-4347(93)80369-f,"Estimation of the lower limit of quantitation, a method detection performance parameter for biomedical assays, from calibration curves",Kucharczyk,2002,1
10.1016/j.ijantimicag.2006.01.004,Multiplex PCR for genes encoding prevalent OXA carbapenemases in Acinetobacter spp.,WOODFORD,2006,1
10.1128/aac.00327-13,New Dosing Strategies for an Old Antibiotic: Pharmacodynamics of Front-Loaded Regimens of Colistin at Simulated Pharmacokinetics in Patients with Kidney or Liver Disease,Rao,2013,5
10.1111/j.1469-0691.2005.01161.x,Treatment and control of severe infections caused by multiresistant Pseudomonas aeruginosa,Rossolini,2005,1
10.1128/aac.05028-11,Clinically Relevant Plasma Concentrations of Colistin in Combination with Imipenem Enhance Pharmacodynamic Activity against Multidrug-Resistant Pseudomonas aeruginosa at Multiple Inocula,Bergen,2011,1
10.1016/j.clinthera.2008.01.015,"Colistin serum concentrations after intravenous administration in critically ill patients with serious multidrug-resistant, gram-negative bacilli infections: A prospective, open-label, uncontrolled study",Markou,2008,1
10.1093/jac/dki461,Pharmacokinetics of inhaled colistin in patients with cystic fibrosis,Ratjen,2006,1
10.1164/rccm.200208-855oc,Significant Microbiological Effect of Inhaled Tobramycin in Young Children with Cystic Fibrosis,Gibson,2003,1
10.1164/ajrccm.156.4.96-11058,Lower Airway Inflammation in Infants and Young Children with Cystic Fibrosis,ARMSTRONG,2013,1
10.1007/bf00442171,Bronchial mucous glands in the newborn with cystic fibrosis,Chow,2004,1
10.1001/archpedi.1965.02090020103003,Meconium Ileus,HOLSCLAW,2011,1
10.1128/aac.02831-15,Paradoxical Effect of Polymyxin B: High Drug Exposure Amplifies Resistance in Acinetobacter baumannii,Tsuji,2016,4
10.1093/jac/dku536,The transcriptomic response of <i>Acinetobacter baumannii</i> to colistin and doripenem alone and in combination in an <i>in vitro</i> pharmacokinetics/pharmacodynamics model,Henry,2015,1
10.1007/s00203-011-0779-5,Characterization of the BaeSR two-component system from Salmonella Typhimurium and its role in ciprofloxacin-induced mdtA expression,Guerrero,2011,1
10.1345/aph.1q294,Effectiveness and Tolerability of A Polymyxin B Dosing Protocol,Esaian,2012,1
10.1128/aac.49.9.3624-3630.2005,"Pharmacodynamics of Polymyxin B against
            <i>Pseudomonas aeruginosa</i>",Tam,2005,5
10.1371/journal.ppat.1007297,Pathogen-based precision medicine for drug-resistant tuberculosis,Gröschel,2018,2
10.2471/blt.11.096644,Challenging a dogma: antimicrobial susceptibility testing breakpoints for Mycobacterium tuberculosis,Ängeby,2012,1
10.1086/600877,"Vancomycin Therapeutic Guidelines: A Summary of Consensus Recommendations from the Infectious Diseases Society of America, the American Society of Health-System Pharmacists, and the Society of Infectious Diseases Pharmacists",Rybak,2009,1
10.2146/ajhp080434,"Therapeutic monitoring of vancomycin in adult patients: A consensus review of the American Society of Health-System Pharmacists, the Infectious Diseases Society of America, and the Society of Infectious Diseases Pharmacists",Rybak,2008,2
10.1093/clinids/18.4.544,Editorial: Monitoring Serum Vancomycin Levels: Climbing the Mountain Because It Is There?,Moellering,2011,1
10.1128/aac.00703-13,"Synergistic Activity of Colistin and Rifampin Combination against Multidrug-Resistant Acinetobacter baumannii in an
            <i>In Vitro</i>
            Pharmacokinetic/Pharmacodynamic Model",Lee,2013,1
10.1186/s13054-015-1151-y,Can physicochemical properties of antimicrobials be used to predict their pharmacokinetics during extracorporeal membrane oxygenation? Illustrative data from ovine models,Shekar,2015,4
10.1097/ccm.0b013e3181961bff,Pharmacokinetic issues for antibiotics in the critically ill patient,Roberts,2009,2
10.1378/chest.115.2.462,Inadequate Antimicrobial Treatment of Infections,Kollef,2003,1
10.1164/ajrccm.157.2.9705064,Ventilator-associated Pneumonia Caused by Potentially  Drug-resistant Bacteria,TROUILLET,2013,1
10.1378/chest.101.6.1644,Definitions for Sepsis and Organ Failure and Guidelines for the Use of Innovative Therapies in Sepsis,Bone,2007,1
10.1097/00005373-198412000-00005,Quantitative Evaluation of Clinical Course in Surgical ICU Patients,ABRAMS,2006,1
10.1186/cc3995,,Falagas,2006,2
10.1016/0140-6736(93)92422-p,Pathogenesis of cystic fibrosis,Koch,2003,1
10.1126/science.2772657,Identification of the Cystic Fibrosis Gene: Chromosome Walking and Jumping,Rommens,2006,1
10.1086/516284,State‐of‐the‐Art Clinical Article: Pharmacokinetic/Pharmacodynamic Parameters: Rationale for Antibacterial Dosing of Mice and Men,Craig,2007,5
10.1016/s0140-6736(81)90422-0,HEPATIC COMPLICATIONS OF CYSTIC FIBROSIS,Psacharopoulos,2003,1
10.1136/adc.55.9.696,Immune responses to liver membrane antigens in patients with cystic fibrosis and liver disease.,Mieli-Vergani,2008,1
10.1111/j.1365-2222.1975.tb01860.x,Immediate hypersensitivity in patients with cystic fibrosis,ALLAN,2006,1
10.1136/thx.20.5.385,Transient Pulmonary Infiltrations in Cystic Fibrosis due to Allergic Aspergillosis,Mearns,2008,1
10.1136/thx.7.4.317,Broncho-pulmonary Aspergillosis : A Review and a Report of Eight New Cases,Hinson,2008,2
10.1128/aac.01278-06,"Development and Persistence of Antimicrobial Resistance in
            <i>Pseudomonas aeruginosa</i>
            : a Longitudinal Observation in Mechanically Ventilated Patients",Reinhardt,2007,1
10.1086/600036,Doripenem,Paterson,2009,1
10.1016/j.tox.2007.12.031,Validation of putative genomic biomarkers of nephrotoxicity in rats,Wang,2008,1
10.1152/ajprenal.00285.2002,Kidney injury molecule-1: a tissue and urinary biomarker for nephrotoxicant-induced renal injury,Ichimura,2004,1
10.1074/jbc.273.7.4135,"Kidney Injury Molecule-1 (KIM-1), a Putative Epithelial Cell Adhesion Molecule Containing a Novel Immunoglobulin Domain, Is Up-regulated in Renal Cells after Injury",Ichimura,2002,1
10.1016/0092-8674(93)90305-a,α4β7 integrin mediates lymphocyte binding to the mucosal vascular addressin MAdCAM-1,Berlin,2004,1
10.1083/jcb.107.5.1853,Immunohistologic and functional characterization of a vascular addressin involved in lymphocyte homing into peripheral lymph nodes.,Streeter,2004,1
10.1007/bf02267236,Clarification of the limit of detection in chromatography,Foley,2005,1
10.1021/ac60259a007,Limits for qualitative detection and quantitative determination.  Application to radiochemistry,Currie,2005,1
10.1016/j.clpt.2004.02.004,Pharmacokinetic studies in hepatic impairment: is the Maddrey function a relevant marker?,GARDMARK,2004,1
10.1159/000220402,The Role of the Therapeutic Regimen in Dosage Design. Part II,Krüger-Thiemer,2009,1
10.1093/jac/dkp262,Evaluation of wild-type MIC distributions as a tool for determination of clinical breakpoints for Mycobacterium tuberculosis,Schon,2009,1
10.1183/09031936.05.00111304,Drug-susceptibility testing in tuberculosis: methods and reliability of results,Kim,2005,1
10.1016/j.cmi.2020.02.004,Using machine learning to optimize antibiotic combinations: dosing strategies for meropenem and polymyxin B against carbapenem-resistant Acinetobacter baumannii,Smith,2020,1
10.1128/cmr.00006-08,Polymyxins Revisited,Landman,2008,2
10.1093/jac/dkh128,"In vitro susceptibility of Stenotrophomonas maltophilia isolates: comparison of disc diffusion, Etest and agar dilution methods",Nicodemo,2004,1
10.1126/science.1175325,Looming Global-Scale Failures and Missing Institutions,Walker,2009,1
10.1128/aac.01885-13,Clinical Population Pharmacokinetics and Toxicodynamics of Linezolid,Boak,2014,4
10.1146/annurev.pharmtox.48.113006.094708,Mechanism-Based Concepts of Size and Maturity in Pharmacokinetics,Anderson,2007,1
10.1007/s00467-006-0118-2,"Postnatal renal function in preterm newborns: a role of diseases, drugs and therapeutic interventions",Cuzzolin,2006,1
10.1128/aac.47.3.905-909.2003,"Synergistic Activity of Colistin and Ceftazidime against Multiantibiotic-Resistant
            <i>Pseudomonas aeruginosa</i>
            in an In Vitro Pharmacodynamic Model",Gunderson,2003,2
10.1177/106002809102501101,Toxicity of Colistin in Cystic Fibrosis Patients,Bosso,2017,1
10.7326/0003-4819-72-6-857,Adverse Effects of Sodium Colistimethate,KOCH-WESER,2013,3
10.1128/aac.00881-09,"Attenuation of Colistin Bactericidal Activity by High Inoculum of
            <i>Pseudomonas aeruginosa</i>
            Characterized by a New Mechanism-Based Population Pharmacodynamic Model",Bulitta,2010,2
10.1146/annurev.me.27.020176.001443,Significance of Serum Protein and Tissue Binding of Antimicrobial Agents,Craig,2003,1
10.3181/00379727-76-18383,Sequential Blocking of Metabolic Pathways in vivo,Potter,2013,1
10.1093/cid/ciw839,Dosing guidance for intravenous colistin in critically-ill patients,Nation,2016,3
10.1016/j.ijantimicag.2016.07.015,In vitro pharmacodynamic evaluation of ceftolozane/tazobactam against β-lactamase-producing Escherichia coli in a hollow-fibre infection model,Soon,2016,3
10.1016/j.bcp.2016.10.005,"Antibiotics: Pharmacokinetics, toxicity, resistance and multidrug efflux pumps",Yılmaz,2016,2
10.1128/aac.01989-12,"Human Simulated Studies of Aztreonam and Aztreonam-Avibactam To Evaluate Activity against Challenging Gram-Negative Organisms, Including Metallo-β-Lactamase Producers",Crandon,2013,1
10.1016/j.coph.2012.06.003,Improving known classes of antibiotics: an optimistic approach for the future,Bush,2012,1
10.1128/aac.01724-09,"Cellular Pharmacodynamics of the Novel Biaryloxazolidinone Radezolid: Studies with Infected Phagocytic and Nonphagocytic cells, Using
            <i>Staphylococcus aureus</i>
            ,
            <i>Staphylococcus epidermidis</i>
            ,
            <i>Listeria monocytogenes</i>
            , and
            <i>Legionella pneumophila</i>",Lemaire,2010,1
10.1038/nrmicro2171,Listeria monocytogenes — from saprophyte to intracellular pathogen,Freitag,2009,1
10.1099/00221287-138-12-2619,The use of bacterial luciferase for monitoring the environmental regulation of expression of genes encoding virulence factors in Listeria monocytogenes,Park,2009,1
10.1093/jac/31.suppl_d.159,The post-antibiotic sub-MIC effect in vitro and in vivo,Cars,2012,1
10.1016/j.ijantimicag.2004.10.001,Evaluation of colistin as an agent against multi-resistant Gram-negative bacteria,Li,2004,1
10.1089/mdr.1995.1.1,Editorial: The Prospects of Treatment Failure in the Chemotherapy of Infectious Diseases in the 1990s,ARMSTRONG,2009,1
10.1056/nejm199404283301725,Multiple-Antibiotic-Resistant Pathogenic Bacteria -- A Report on the Rockefeller University Workshop,Tomasz,2002,1
10.7326/0003-4819-118-7-199304010-00011,Resistance to Antimicrobial Drugs—A Worldwide Calamity,Kunin,2013,1
10.1128/aac.47.2.548-553.2003,Population Pharmacokinetics of Linezolid in Patients Treated in a Compassionate-Use Program,Meagher,2003,1
10.1001/archinte.1962.03620240029006,Gram-Negative Bacteremia,McCABE,2011,1
10.1093/biomet/66.2.237,A Bayesian extension of the minimum AIC procedure of autoregressive model fitting,AKAIKE,2007,1
10.1124/dmd.31.5.540,Identification of the Cytochrome P450 Enzymes Involved in the<i>N</i>-Oxidation of Voriconazole,Hyland,2003,1
10.1016/s0021-9258(20)82244-3,The Carbon Monoxide-binding Pigment of Liver Microsomes,Omura,2021,1
10.1016/s0021-9258(18)70660-1,The Purification And Properties Of Microsomal Cytochrome Reductase,Strittmatter,2021,1
10.1085/jgp.35.3.423,CRYSTALLINE INORGANIC PYROPHOSPHATASE ISOLATED FROM BAKER'S YEAST,Kunitz,2004,1
10.1128/aac.00859-16,"Widespread Dissemination of Carbapenem-Resistant Escherichia coli Sequence Type 167 Strains Harboring
            <i>bla</i>
            <sub>NDM-5</sub>
            in Clinical Settings in China",Huang,2016,1
10.2217/fmb.10.171,NDM-1: a local clone emerges with worldwide aspirations,Marra,2011,1
10.4103/0255-0857.66477,New Delhi metallo-beta-lactamases: A wake-up call for microbiologists,Krishna,2010,1
10.1128/aac.00774-09,"Characterization of a New Metallo-β-Lactamase Gene,
            <i>bla</i>
            <sub>NDM-1</sub>
            , and a Novel Erythromycin Esterase Gene Carried on a Unique Genetic Structure in
            <i>Klebsiella pneumoniae</i>
            Sequence Type 14 from India",Yong,2009,1
10.1385/mb:28:1:47,"Resistance to Macrolide, Lincosamide, Streptogramin, Ketolide, and Oxazolidinone Antibiotics",Roberts,2004,1
10.1093/jac/dkq459,"Antimicrobial activity of a novel aminoglycoside, ACHN-490, against Acinetobacter baumannii and Pseudomonas aeruginosa from New York City",Landman,2010,1
10.1128/aac.39.1.185,PCR mapping of integrons reveals several novel combinations of resistance genes,Lévesque,2012,1
10.1104/pp.59.3.478,Cytokinins: Metabolism and Biological Activity of N<sup>6</sup>-(Δ<sup>2</sup>-Isopentenyl)adenosine and N<sup>6</sup>-(Δ<sup>2</sup>-Isopentenyl)adenine in Tobacco Cells and Callus,Laloue,2008,1
10.1086/596103,Epidemiology of Ventilator-Associated Pneumonia in a Long-Term Acute Care Hospital,Walkey,2009,1
10.1128/aac.00090-11,"Evaluation of Pharmacokinetic/Pharmacodynamic Relationships of PD-0162819, a Biotin Carboxylase Inhibitor Representing a New Class of Antibacterial Compounds, Using
            <i>In Vitro</i>
            Infection Models",Ogden,2011,4
10.1128/aac.29.3.496,Interaction of polycationic antibiotics with Pseudomonas aeruginosa lipopolysaccharide and lipid A studied by using dansyl-polymyxin,Moore,2012,2
10.1093/jac/dkl509,"Porins, efflux pumps and multidrug resistance in Acinetobacter baumannii",Vila,2007,1
10.1093/jac/28.6.791,Mechanisms of resistance to <i>β</i>-lactam antibiotics in <i>Acinetobacter calcoaceticus</i>,Obara,2007,1
10.1093/ije/dym018,Tools for assessing quality and susceptibility to bias in observational studies in epidemiology: a systematic review and annotated bibliography,Sanderson,2007,1
10.3310/hta7270,Evaluating non-randomised intervention studies,Deeks,2014,1
10.1016/j.ijantimicag.2016.07.023,Colistin versus polymyxin B for the treatment of patients with multidrug-resistant Gram-negative infections: a systematic review and meta-analysis,Vardakas,2016,1
10.1248/cpb.55.1724,"Semi-synthesis of Polymyxin B (2-10) and Colistin (2-10) Analogs Employing the Trichloroethoxycarbonyl (Troc) Group for Side Chain Protection of .ALPHA.,.GAMMA.-Diaminobutyric Acid Residues",Okimura,2007,1
10.1016/0019-2791(76)90181-6,Binding of polymyxin B to the lipid A portion of bacterial lipopolysaccharides,Morrison,2003,1
10.1016/s0021-9258(19)41574-3,Fractions of lipopolysaccharide from Escherichia coli O111:B4 prepared by two extraction procedures.,Morrison,2021,1
10.1016/s0021-9258(19)43278-x,The Biosynthesis of Cell Wall Lipopolysaccharide in Escherichia coli,Fuller,2021,1
10.1016/s0021-9258(18)70158-0,The Formation of 2-Keto-3-deoxyheptonic Acid in Extracts of Escherichia coli B,Weissbach,2021,1
10.1515/bchm2.1939.258.2-3.117,"Über die Bestimmung kleiner Pentosemengen, insbesondere in Derivaten der Adenylsäure",Mejbaum,2011,1
10.1128/jcm.34.5.1129-1135.1996,Random amplified polymorphic DNA typing of Pseudomonas aeruginosa isolates recovered from patients with cystic fibrosis,Mahenthiralingam,2020,1
10.1021/bi00778a004,Structural heterogeneity in the lipopolysaccharide of Aerobacter aerogenes NCTC 243,Conrad,2005,1
10.1016/s0021-9258(18)56696-5,THE FLUOROMETRIC MEASUREMENT OF THE NUCLEOTIDES OF RIBOFLAVIN AND THEIR CONCENTRATION IN TISSUES,Bessey,2021,1
10.1042/bj0400363,Effects of purines on fluorescent solutions,Weil-Malherbe,2015,1
10.1086/429323,Colistin: The Revival of Polymyxins for the Management of Multidrug-Resistant Gram-Negative Bacterial Infections,Falagas,2005,2
10.1046/j.1469-0691.2000.00169.x,"In vitro and in vivo synergistic activity of colistin, rifampin, and amikacin against a multiresistant Pseudomonas aeruginosa isolate",Tascini,2002,1
