parent.title,parent.authors,parent.year,parent.doi,child.author,child.year,child.doi
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Olofsson,2006,10.1093/jac/dkl135
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Firsov,2006,10.1093/jac/dkl387
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Craig,2003,10.1016/s0891-5520(03)00065-5
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Preston,1998,10.1001/jama.279.2.125
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Blaser,1987,10.1128/AAC.31.7.1054
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Thornburn,2001,10.1093/jac/48.1.15
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Forrest,1993,10.1128/AAC.37.5.1073
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Tam,2005,10.1086/430611
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Gumbo,2004,10.1086/424849
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Mouton,2005,10.2165/00003088-200544020-00005
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Moore,1987,10.1093/infdis/155.1.93
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Daikos,1991,10.1128/AAC.35.1.117
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Daikos,1990,10.1093/infdis/162.2.414
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Henderson-Begg,2006,10.1093/jac/dkl064
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Mouton,1994,10.1128/AAC.38.5.931
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Larsson,1996,10.1093/jac/38.4.589
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Saunders,1994,10.1016/s0140-6736(94)92890-8
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Lowdin,1998,10.1128/AAC.42.10.2739
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Knudsen,2000,10.1128/AAC.44.5.1247-1254.2000
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.109+E637/CCM.0b013e318180fe62,Goss,1994,10.1177/106002809402800707
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Nix,1992,10.1177/106002809202600101
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Piddock,1993,10.1093/jac/32.5.771
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Rybak,2006,10.1016/j.amjmed.2006.04.001
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Vogelman,1986,10.1016/S0022-3476(86)80754-5
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Mouton,1997,10.1128/AAC.41.4.733
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Bakker-Woudenberg,1990,10.1007/BF01709706
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Craig,1984,10.1007/BF02013628
Antibiotic resistance--what's dosing got to do with it?,Roberts,2008,10.1097/CCM.0b013e318180fe62,Rybak,2006,10.1086/491712
Pharmacokinetic issues for antibiotics in the critically ill patient,Roberts,2009,10.1097/CCM.0b013e3181961bff,Forrest,1993,10.1128/AAC.37.5.1073
Pharmacokinetic issues for antibiotics in the critically ill patient,Roberts,2009,10.1097/CCM.0b013e3181961bff,Goss,1994,10.1177/106002809402800707
Pharmacokinetic issues for antibiotics in the critically ill patient,Roberts,2009,10.1097/CCM.0b013e3181961bff,Nix,1992,10.1177/106002809202600101
"Dose-Ranging Pharmacokinetic Study of Ciprofloxacin after 200-, 300-, and 400-mg Intravenous Doses",Nix,1992,10.1177/106002809202600101,Schentag,1991,10.1177/106002809102501003
Pharmacokinetic issues for antibiotics in the critically ill patient,Roberts,2009,10.1097/CCM.0b013e3181961bff,Piddock,1993,10.1093/jac/32.5.771
Should quinolones be used in the treatment of bacterial infections in neutropenic patients?,Piddock,1993,10.1093/jac/32.5.771,Forrest,1993,10.1128/AAC.37.5.1073
Should quinolones be used in the treatment of bacterial infections in neutropenic patients?,Piddock,1993,10.1093/jac/32.5.771,Blaser,1987,10.1128/AAC.31.7.1054
Should quinolones be used in the treatment of bacterial infections in neutropenic patients?,Piddock,1993,10.1093/jac/32.5.771,Meunier,1991,10.1128/AAC.35.5.873
Pharmacokinetic issues for antibiotics in the critically ill patient,Roberts,2009,10.1097/CCM.0b013e3181961bff,Hyatt,2000,10.1086/503167
Pharmacodynamic modeling of risk factors for ciprofloxacin resistance in Pseudomonas aeruginosa,Hyatt,2000,10.1086/503167,MacGowan,2000,10.1093/jac/46.2.163
The use of in vitro pharmacodynamic models of infection to optimize fluoroquinolone dosing regimens ,MacGowan,2000,10.1093/jac/46.2.163,Marchbanks,1993,10.1128/AAC.37.9.1756
The use of in vitro pharmacodynamic models of infection to optimize fluoroquinolone dosing regimens ,MacGowan,2000,10.1093/jac/46.2.163,Drusano,1993,10.1128/aac.37.3.483
The use of in vitro pharmacodynamic models of infection to optimize fluoroquinolone dosing regimens ,MacGowan,2000,10.1093/jac/46.2.163,Preston,1998,10.1001/jama.279.2.125
The use of in vitro pharmacodynamic models of infection to optimize fluoroquinolone dosing regimens ,MacGowan,2000,10.1093/jac/46.2.163,Drusano,1998,10.1111/j.1469-0691.1998.tb00692.x
Pharmacokinetics and pharmacodynamics of fluoroquinolones,Drusano,1998,10.1111/j.1469-0691.1998.tb00692.x,Blaser,1987,10.1128/AAC.31.7.1054
Pharmacokinetics and pharmacodynamics of fluoroquinolones,Drusano,1998,10.1111/j.1469-0691.1998.tb00692.x,Forrest,1993,10.1128/AAC.37.5.1065
Pharmacokinetics and pharmacodynamics of fluoroquinolones,Drusano,1998,10.1111/j.1469-0691.1998.tb00692.x,Forrest,1993,10.1128/AAC.37.5.1073
Pharmacokinetics and pharmacodynamics of fluoroquinolones,Drusano,1998,10.1111/j.1469-0691.1998.tb00692.x,Preston,1998,10.1128/AAC.42.5.1098
Pharmacokinetics and pharmacodynamics of fluoroquinolones,Drusano,1998,10.1111/j.1469-0691.1998.tb00692.x,Preston,1998,10.1001/jama.279.2.125
Pharmacokinetic issues for antibiotics in the critically ill patient,Roberts,2009,10.1097/CCM.0b013e3181961bff,Schentag,1999,10.1179/joc.1999.11.6.426
Pharmacokinetic issues for antibiotics in the critically ill patient,Roberts,2009,10.1097/CCM.0b013e3181961bff,Thomas,1998,10.1128/AAC.42.3.521
Beta-Lactams Therapeutic Monitoring in Septic Children-What Target Are We Aiming for? A Scoping Review,Morales,2022,10.3389/fped.2022.777854,Bui,2020,10.1093/jac/dkaa170
Population pharmacokinetics of ceftazidime in critically ill children: impact of cystic fibrosis,Bui,2020,10.1093/jac/dkaa170,Drusano,2004,10.1038/nrmicro862
Population pharmacokinetics of ceftazidime in critically ill children: impact of cystic fibrosis,Bui,2020,10.1093/jac/dkaa170,Craig,1998,10.1086/516284
Beta-Lactams Therapeutic Monitoring in Septic Children-What Target Are We Aiming for? A Scoping Review,Morales,2022,10.3389/fped.2022.777854,Li,2021,10.1016/j.ejps.2021.105868
Population pharmacokinetics-pharmacodynamics of ceftazidime in neonates and young infants: Dosing optimization for neonatal sepsis,Li,2021,10.1016/j.ejps.2021.105868,Shi,2018,10.1128/aac.02486-17
Population pharmacokinetics-pharmacodynamics of ceftazidime in neonates and young infants: Dosing optimization for neonatal sepsis,Li,2021,10.1016/j.ejps.2021.105868,Tang,2019,10.1128/aac.02336-18
Population pharmacokinetics-pharmacodynamics of ceftazidime in neonates and young infants: Dosing optimization for neonatal sepsis,Li,2021,10.1016/j.ejps.2021.105868,Zhou,2021,10.1016/j.xphs.2021.02.001
Beta-Lactams Therapeutic Monitoring in Septic Children-What Target Are We Aiming for? A Scoping Review,Morales,2022,10.3389/fped.2022.777854,Yasmin,2020,10.1093/cid/ciz1155
Beta-Lactams Therapeutic Monitoring in Septic Children-What Target Are We Aiming for? A Scoping Review,Morales,2022,10.3389/fped.2022.777854,Cies,2018,10.1097/CCM.0000000000002817
_-lactam Therapeutic Drug Management in the PICU,Cies,2018,10.1097/CCM.0000000000002817,Drusano,2004,10.1038/nrmicro862
_-lactam Therapeutic Drug Management in the PICU,Cies,2018,10.1097/CCM.0000000000002817,Ariano,2005,10.1345/aph.1E271
_-lactam Therapeutic Drug Management in the PICU,Cies,2018,10.1097/CCM.0000000000002817,Turnidge,1998,10.1086/514622
Pharmacodynamics of b-Lactams,Turnidge,1998,10.1086/514622,Vogelman,1988,10.1093/infdis/158.4.831
