DOI,title,author,year,times_seen
10.1007/bf00299113,Adjunctive antimicrobial therapy for complicated appendicitis: Bacterial overkill by combination therapy,Hopkins,2004,1
10.1097/00000658-199002000-00008,The Bacteriology of Gangrenous and Perforated Appendicitis—Revisited,BENNION,2006,1
10.1128/aac.01956-15,Defining Clinical Exposures of Cefepime for Gram-Negative Bloodstream Infections That Are Associated with Improved Survival,Rhodes,2015,2
10.1097/ftd.0b013e31825c4ba6,"Accurate Detection of Outliers and Subpopulations With Pmetrics, a Nonparametric and Parametric Pharmacometric Modeling and Simulation Package for R",Neely,2012,1
10.1097/00007691-200006000-00018,Achieving Target Goals Most Precisely Using Nonparametric Compartmental Models and “Multiple Model” Design of Dosage Regimens,Jelliffe,2003,2
10.1007/s10096-019-03535-w,Target attainment of cefotaxime in critically ill children with meningococcal septic shock as a model for cefotaxime dosing in severe pediatric sepsis,Hartman,2019,5
10.5863/1551-6776-22.4.276,Population Pharmacokinetics and Pharmacodynamic Target Attainment of Meropenem in Critically Ill Young Children,Cies,2017,7
10.1128/aac.40.5.1139,Pharmacokinetics of vancomycin in critically ill infants undergoing extracorporeal membrane oxygenation,Amaker,2018,1
10.1086/520195,Antimicrobial Resistance in Key Bloodstream Bacterial Isolates: Electronic Surveillance with The Surveillance Network Database‐‐USA,Sahm,2007,1
10.1097/00006454-199603000-00015,Pharmacokinetics and pharmacodynamics of antibiotics in otitis media,CRAIG,2003,1
10.1128/aac.36.4.856,"Susceptibilities of penicillin-susceptible and -resistant strains of Streptococcus pneumoniae to RP 59500, vancomycin, erythromycin, PD 131628, sparfloxacin, temafloxacin, win 57273, ofloxacin, and ciprofloxacin",Spangler,2012,1
10.1007/s00134-013-3088-4,Clinical implications of antibiotic pharmacokinetic principles in the critically ill,Udy,2013,1
10.1186/cc10441,Antibiotics in critically ill patients: a systematic review of the pharmacokinetics of β-lactams,Gonçalves-Pereira,2011,1
10.1097/00003246-200207000-00013,Plasma and tissue pharmacokinetics of cefpirome in patients with sepsis,Joukhadar,2003,1
10.1093/jac/31.suppl_d.1,Pharmacokinetics of antibiotics in natural and experimental superficial compartments in animals and humans,Ryan,2012,1
10.2165/00019053-199610050-00007,The Economic Impact of Once-Daily versus Conventional Administration of Gentamicin and Tobramycin,Mithani,2009,1
10.1136/archdischild-2019-317342,Serum amoxicillin levels in young infants (0–59 days) with sepsis treated with oral amoxicillin,Mir,2020,5
10.1038/jp.2010.191,"Why do families of sick newborns accept hospital care? a community-based cohort study in Karachi, Pakistan",Owais,2011,1
10.1038/jp.2008.165,Care-seeking practices in South Asia: using formative research to design program interventions to save newborn lives,Syed,2008,1
10.1363/3307507,Maternal Health and Care-Seeking Behavior In Bangladesh: Findings from a National Survey,Koenig,2007,1
10.1016/j.ijantimicag.2007.12.009,Evaluation of area under the inhibitory curve (AUIC) and time above the minimum inhibitory concentration (T&gt;MIC) as predictors of outcome for cefepime and ceftazidime in serious bacterial infections,McKinnon,2008,4
10.5863/1551-6776-19.4.262,Developmental Pharmacokinetics in Pediatric Populations,Lu,2020,2
10.1345/aph.17228,Ampicillin-Induced Neurotoxicity in Very-Low-Birth-Weight Neonates,Shaffer,2004,1
10.1016/0887-8994(88)90011-2,Intraventricular nafcillin-induced seizures in a neonate,Brozanski,2003,2
10.1002/j.1552-4604.1974.tb01364.x,Neurotoxicity During Intravenous Infusion of Penicillin. A Review,FOSSIECK,2013,1
10.1016/s0022-5223(19)42095-3,Epilepsy in cardiopulmonary bypass patients receiving large intravenous doses of penicillin,Currie,2019,1
10.1128/aac.01368-15,Augmented Renal Clearance Implies a Need for Increased Amoxicillin-Clavulanic Acid Dosing in Critically Ill Children,De Cock,2015,4
10.1159/000180580,Prediction of Creatinine Clearance from Serum Creatinine,Cockcroft,2008,2
10.1097/ccm.0b013e31827e83af,Surviving Sepsis Campaign,Dellinger,2013,3
10.1007/s00134-008-1310-6,End-of-life practices in 282 intensive care units: data from the SAPS 3 database,Azoulay,2008,1
10.1378/chest.121.3.957,Do Specialists Differ on Do-Not-Resuscitate Decisions?,Kelly,2003,1
10.1001/jama.1988.03410060067029,Patients' and Families' Preferences for Medical Intensive Care,Danis,2011,1
10.1016/j.cmi.2018.11.020,Therapeutic drug monitoring of imipenem and the incidence of toxicity and failure in hospitalized patients: a retrospective cohort study,Bricheux,2018,5
10.1016/j.ijantimicag.2014.12.017,"Augmented renal clearance, low β-lactam concentrations and clinical outcomes in the critically ill: An observational prospective cohort study",Huttner,2015,1
10.1093/jac/32.suppl_b.103,Pharmacokinetics of cefepime: a review,Van der Auwera,2012,1
10.1592/phco.26.9.1320,Application of Antimicrobial Pharmacodynamic Concepts into Clinical Practice: Focus on β-Lactam Antibiotics: Insights from the Society of Infectious Diseases Pharmacists,Lodise,2006,8
10.1128/aac.46.2.586-589.2002,Levofloxacin Penetration into Epithelial Lining Fluid as Determined by Population Pharmacokinetic Modeling and Monte Carlo Simulation,Drusano,2002,2
10.1128/aac.44.1.173-177.2000,"Activities of Masked 2′,3′-Dideoxynucleoside Monophosphate Derivatives against Human Immunodeficiency Virus in Resting Macrophages",Aquaro,2009,1
10.1177/095632029800900105,Synthesis and Antiviral Evaluation of SATE-Foscarnet Prodrugs and New Foscarnet—AZT Conjugates,Meier,2015,1
10.1177/095632029600700103,Intracellular Metabolism of 3′-Azido-3′-Deoxythymidine in the Presence of Ganciclovir or Foscarnet,Palmer,2015,1
10.1093/jac/dkt523,"An international, multicentre survey of  -lactam antibiotic therapeutic drug monitoring practice in intensive care units",Wong,2014,4
10.1016/j.ejps.2021.105868,Population pharmacokinetics-pharmacodynamics of ceftazidime in neonates and young infants: Dosing optimization for neonatal sepsis,Li,2021,6
10.1016/j.xphs.2021.02.001,Dosage Adjustment for Ceftazidime in Pediatric Patients With Renal Impairment Using Physiologically Based Pharmacokinetic Modeling,Zhou,2021,1
10.1016/s2213-2600(18)30063-8,The global burden of paediatric and neonatal sepsis: a systematic review,Fleischmann-Struzek,2018,1
10.1157/13107391,Incidencia estimada y análisis de la sepsis en un área de Valencia,Bou Monterde,2007,1
10.1128/aac.01045-16,A Population and Developmental Pharmacokinetic Analysis To Evaluate and Optimize Cefotaxime Dosing Regimen in Neonates and Young Infants,Leroux,2016,3
10.1093/infdis/jiy578,Evidence-Based Study Design for Hospital-Acquired Bacterial Pneumonia and Ventilator-Associated Bacterial Pneumonia,Talbot,2018,1
10.1097/ccm.0b013e3181691b99,"Efficacy and safety of intravenous infusion of doripenem versus imipenem in ventilator-associated pneumonia: A multicenter, randomized study*",Chastre,2009,1
10.1007/s001340000640,Impact of appropriateness of initial antibiotic therapy on the outcome of ventilator-associated pneumonia,Dupont,2003,1
10.1172/jci107767,Inhibition of Penicillin Transport from the Cerebrospinal Fluid after Intracisternal Inoculation of Bacteria,Spector,2008,1
10.1128/aac.40.8.1881,Quinolone resistance mutations in topoisomerase IV: relationship to the flqA locus and genetic evidence that topoisomerase IV is the primary target and DNA gyrase is the secondary target of fluoroquinolones in Staphylococcus aureus,Ng,2018,1
10.1016/s2214-109x(14)70347-x,"Safety and efficacy of alternative antibiotic regimens compared with 7 day injectable procaine benzylpenicillin and gentamicin for outpatient treatment of neonates and young infants with clinical signs of severe infection when referral is not possible: a randomised, open-label, equivalence trial",Baqui,2015,1
10.1097/inf.0b013e31819069e8,Effectiveness of Home-Based Management of Newborn Infections by Community Health Workers in Rural Bangladesh,Baqui,2009,1
10.1016/j.trstmh.2005.11.004,Can community health workers and caretakers recognise pneumonia in children? Experiences from western Uganda,Källander,2006,1
10.1016/j.actatropica.2003.11.013,Symptom overlap for malaria and pneumonia—policy implications for home management strategies,Källander,2004,1
10.1046/j.1365-3156.2002.00827.x,Use of clinical algorithms for diagnosing malaria1,Chandramohan,2003,1
10.1016/0001-706x(93)90068-m,Absence of seasonal variation in malaria parasitaemia in an area of intense seasonal transmission,Smith,2002,1
10.1080/00034983.1954.11685599,The Recognition of Age-Groups within Populations of<i>Anopheles Gambiae</i>by the Pre-Gravid Rate and the Sporozoite Rate,Gillies,2016,1
10.1017/s0007485300023221,Studies on <i>Anopheles gambiae</i> and <i>A. melas</i> in and around Lagos,Thomson,2009,1
10.1080/00034983.1932.11684720,"A Study of the House-Haunting Culicidae Occurring in Freetown, Sierra Leone; and of the Part Played by them in the Transmission of Certain Tropical Diseases, Together with Observations on the Relationship of Anophelines to Housing, and the Effects of Antilarval Measures in Freetown",Gordon,2016,1
10.1080/00034983.1930.11684624,The Transmission of Malaria in Sierra Leone,Gordon,2016,1
10.1017/s000748530004637x,"The Seasonal Habit of the common Anophelines of Nyasaland, with a Note on its Relation to the Seasonal Incidence of Malaria",Lamborn,2009,1
10.5962/bhl.title.97575,"Report of the malaria expedition to the Gambia 1902, of the Liverpool School of Tropical Medicine and Medical Parasitology",Dutton,2015,1
10.1016/s0196-0644(83)80650-7,Psychotic-like reaction to procaine penicillin G,Lankin,2005,1
10.1093/cid/cis857,Clinical Outcomes With Extended or Continuous Versus Short-term Intravenous Infusion of Carbapenems and Piperacillin/Tazobactam: A Systematic Review and Meta-analysis,Falagas,2012,1
10.1016/j.ijantimicag.2006.02.020,Clinical efficacy of continuous infusion of piperacillin compared with intermittent dosing in septic critically ill patients,Rafati,2006,1
10.1097/ccm.0b013e3181961bff,Pharmacokinetic issues for antibiotics in the critically ill patient,Roberts,2009,4
10.1007/s10156-003-0279-x,Optimizing outcomes with antimicrobial therapy through pharmacodynamic profiling,Nicolau,2004,1
10.1128/aac.44.12.3351-3356.2000,"Antibacterial Spectrum of a Novel Des-Fluoro(6) Quinolone, BMS-284756",Fung-Tomc,2002,1
10.1001/jama.279.2.125,Pharmacodynamics of Levofloxacin,Preston,2003,2
10.1186/cc13938,Beta-lactam dosing in critically ill patients with septic shock and continuous renal replacement therapy,Ulldemolins,2014,6
10.1016/j.ijantimicag.2014.01.009,Pharmacokinetics of piperacillin and tazobactam in plasma and subcutaneous interstitial fluid in critically ill patients receiving continuous venovenous haemodiafiltration,Varghese,2014,1
10.1093/jac/47.4.421,The pharmacokinetics of once-daily dosing of ceftriaxone in critically ill patients,Joynt,2002,2
10.1128/aac.43.8.2051,"Comparative In Vitro Activities of Ciprofloxacin, Clinafloxacin, Gatifloxacin, Levofloxacin, Moxifloxacin, and Trovafloxacin against
            <i>Klebsiella pneumoniae</i>
            ,
            <i>Klebsiella oxytoca</i>
            ,
            <i>Enterobacter cloacae</i>
            , and
            <i>Enterobacter aerogenes</i>
            Clinical Isolates with Alterations in GyrA and ParC Proteins",Brisse,2018,1
10.1016/0732-8893(94)90033-7,Prevalence of important pathogens and antimicrobial activity of parenteral drugs at numerous medical centers in the United States I. Study on the threat of emerging resistances: Real or perceived?,Jones,2002,1
10.1016/0196-4399(94)90057-4,Detection of antimicrobial resistance in Streptococcus pneumoniae by use of standardized susceptibility testing methods and recently developed interpretive criteria,Jorgensen,2002,1
10.1097/00006454-199303000-00004,Dilemmas in diagnosis and management of cephalosporin-resistant Streptococcus pneumoniae meningitis,FRIEDLAND,2006,1
10.1517/17425255.2013.799137,"Drug absorption, distribution, metabolism and excretion considerations in critically ill adults",Roberts,2013,1
10.1128/aac.01318-06,"Population Pharmacokinetics and Pharmacodynamics of Continuous versus Short-Term Infusion of Imipenem-Cilastatin in Critically Ill Patients in a Randomized, Controlled Trial",Sakka,2007,1
10.2165/00003088-200847040-00002,Facilitation of Drug Evaluation in Children by Population Methods and Modelling†,Tod,2009,1
10.1097/mph.0b013e318047b79d,Clinical Pharmacology of Asparaginases in the United States: Asparaginase Population Pharmacokinetic and Pharmacodynamic (PK-PD) Models (NONMEM) in Adult and Pediatric ALL Patients,Avramis,2007,1
10.1182/blood.v96.5.1709,Weekly polyethylene glycol conjugated L-asparaginase compared with biweekly dosing produces superior induction remission rates in childhood relapsed acute lymphoblastic leukemia: a pediatric oncology group study,Abshire,2019,1
10.1182/blood.v81.3.602.602,Treatment of late bone marrow relapse in children with acute lymphoblastic leukemia: a Pediatric Oncology Group study,Sadowitz,2019,1
10.1016/s1473-3099(03)00737-0,"Effect of pneumonia case management on mortality in neonates, infants, and preschool children: a meta-analysis of community-based trials",Sazawal,2003,1
10.1086/515108,A National Program for Control of Acute Respiratory Tract Infections: The Philippine Experience,Dayrit,2007,1
10.1093/clinids/12.supplement_1.s9,In Vitro Antibacterial Activity of Bismuth Subsalicylate,Cornick,2011,1
10.1086/430906,Antimicrobial Resistance among<i>Streptococcus pneumoniae</i>in the United States: Have We Begun to Turn the Corner on Resistance to Certain Antimicrobial Classes?,Doern,2005,1
10.1056/nejm199907223410403,Decreased Susceptibility of<i>Streptococcus pneumoniae</i>to Fluoroquinolones in Canada,Chen,2002,1
10.1128/jcm.33.9.2233-2239.1995,Interpreting chromosomal DNA restriction patterns produced by pulsed-field gel electrophoresis: criteria for bacterial strain typing,Tenover,2020,1
10.1128/aac.02089-15,Population Pharmacokinetics and Pharmacodynamics of Extended-Infusion Piperacillin and Tazobactam in Critically Ill Children,Nichols,2015,6
10.1016/j.ijantimicag.2005.06.004,Pharmacodynamics of intermittent and continuous infusion piperacillin/tazobactam and cefepime against extended-spectrum β-lactamase-producing organisms,Reese,2005,1
10.1128/aac.47.5.1643-1646.2003,"Pharmacokinetics-Pharmacodynamics of Cefepime and Piperacillin- Tazobactam against
            <i>Escherichia coli</i>
            and
            <i>Klebsiella pneumoniae</i>
            Strains Producing Extended-Spectrum β-Lactamases: Report from the ARREST Program",Ambrose,2003,1
10.1128/aac.45.1.13-22.2001,Use of Preclinical Data for Selection of a Phase II/III Dose for Evernimicin and Identification of a Preclinical MIC Breakpoint,Drusano,2002,1
10.1016/s0732-8893(98)00105-9,"Antimicrobial activity of SCH27899 (Ziracin®), a novel everninomicin derivative, tested against Streptococcus spp.: disk diffusion/Etest method evaluations and quality control guidelines",Marshall,2002,1
10.1016/s0732-8893(98)00039-x,"Epidemiology, Laboratory Detection, and Therapy of Penicillin-resistant Streptococcal Infections",Jones,2002,1
10.1111/j.1574-6968.1991.tb05121.x,Relatedness between Streptococcus pneumoniae and viridans streptococci: transfer of penicillin resistance determinants and immunological similarities of penicillin-binding proteins,Chalkley,2006,1
10.1093/infdis/164.2.313,Antigenic Variation of Penicillin-Binding Proteins from Penicillin-Resistant Clinical Strains of Streptococcus pneumoniae,Hakenbeck,2011,1
10.1172/jci102149,MATURATION OF RENAL FUNCTION IN CHILDHOOD:  CLEARANCE STUDIES12,Rubin,2008,1
10.1164/ajrccm.155.1.9001282,Increasing incidence of withholding and withdrawal of life support from the critically ill.,Prendergast,2013,1
10.1093/infdis/jiaa118,Optimizing Pharmacokinetics-Pharmacodynamics of Antimicrobial Management in Patients with Sepsis: A Review,Phe,2020,4
10.1007/s00134-017-4683-6,Surviving Sepsis Campaign: International Guidelines for Management of Sepsis and Septic Shock: 2016,Rhodes,2017,1
10.1378/chest.11-1671,Subtherapeutic Initial β-Lactam Concentrations in Select Critically Ill Patients,Udy,2011,4
10.1128/aac.47.6.1853-1861.2003,Pharmacokinetics and Pharmacodynamics of Cefepime in Patients with Various Degrees of Renal Function,Tam,2003,2
10.1128/aac.36.3.552,Pharmacokinetics of cefepime after single and multiple intravenous administrations in healthy subjects,Barbhaiya,2012,1
10.2165/00003088-200039040-00003,Pharmacokinetics of Meropenem in Patients with Renal Failure and Patients Receiving Renal Replacement Therapy,Thalhammer,2006,1
10.1128/aac.42.9.2417,Single-Dose Pharmacokinetics of Meropenem during Continuous Venovenous Hemofiltration,Thalhammer,2018,1
10.1007/bf00314864,Pharmacokinetics of meropenem in subjects with renal insufficiency,Leroy,2004,1
10.1128/aac.33.4.562,"Multicenter in vitro evaluation of SM-7338, a new carbapenem",Jones,2012,1
10.1002/(sici)1097-0258(19980430)17:8<857::aid-sim777>3.0.co;2-e,Two-sided confidence intervals for the single proportion: comparison of seven methods,Newcombe,2002,1
10.1097/01.ftd.0000249946.20294.59,Population Pharmacokinetics and Dosing of Amoxicillin in (pre)term neonates,van den Anker,2006,1
10.1016/0009-9236(95)90021-7,Ceftazidime pharmacokinetics in preterm infants: Effects of renal function and gestational age*,van den Anker,2005,1
10.1097/00006454-199002000-00009,The use of antibiotics in neonates weighing less than 1200 grams,PROBER,2006,1
10.1111/j.1574-6968.1982.tb08625.x,Penicillin-binding proteins of nutritionally variant streptococci,Gutmann,2006,1
10.1128/aac.17.3.434,Penicillin-binding proteins of multiply antibiotic-resistant South African strains of Streptococcus pneumoniae,Zighelboim,2012,1
10.1016/0096-3003(91)90077-z,Nonparametric EM Algorithms for estimating prior distributions,Schumitzky,2002,2
10.1214/aos/1176349740,A Large Sample Study of Generalized Maximum Likelihood Estimators from Incomplete Data Via Self-Consistency,Tsai,2007,1
10.1002/phar.2505,A guide to therapeutic drug monitoring of β‐lactam antibiotics,Fratoni,2021,7
10.1007/s11695-011-0586-8,Cefepime Dosing in the Morbidly Obese Patient Population,Rich,2012,2
10.1186/s13054-017-1856-1,Cefepime-induced neurotoxicity: a systematic review,Payne,2017,6
10.1111/j.1445-5994.2012.02800.x,Cefepime: a rare cause of encephalopathy,McNally,2012,1
10.1016/j.ijid.2003.09.003,Cefepime-induced encephalopathy,Dakdouki,2003,1
10.1212/wnl.55.11.1756,Cerebral manifestations of cefepime toxicity in a dialysis patient,Fishbain,2012,2
10.1007/s11095-005-5641-5,Disease System Analysis: Basic Disease Progression Models in Degenerative Disease,Post,2005,1
10.1124/jpet.102.036798,Pharmacokinetic-Pharmacodynamic Modeling of Buspirone and Its Metabolite 1-(2-Pyrimidinyl)-piperazine in Rats,Zuideveld,2003,1
10.1016/0278-5846(89)90026-2,Chronic treatment with amitriptyline produces subsensitivity to the hypothermic effects of clonidine,Dilsaver,2002,1
10.1007/bf00517308,Clonidine-induced hypothermia: Possible involvement of cholinergic and serotonergic mechanisms,Lin,2004,1
10.1007/bf00499835,"Effects of intracerebroventricular injection of clonidine on metabolic, respiratory, vasomotor and temperature responses in the rabbit",Lin,2004,1
10.1139/y79-002,Effects of brain monoamine depletion on chlorpromazine-induced hypothermia in rabbits,Lin,2011,1
10.1113/jphysiol.1978.sp012532,Effects of specific inhibitors of 5-hydroxytryptamine uptake on thermoregulation in rats.,Lin,2014,1
10.1016/j.socscimed.2005.11.042,“I thought it was only ordinary fever!” cultural knowledge and the micropolitics of therapy seeking for childhood febrile illness in Tanzania,Kamat,2006,1
10.1080/13648470.1998.9964548,Fake malaria and hidden parasites—the ambiguity of malaria,Muela,2010,1
10.1016/0001-706x(94)90020-5,"Recognition, treatment seeking behaviour and perception of cause of malaria among rural women in Uganda",Kengeya-Kayondo,2002,1
10.1016/0277-9536(92)90160-r,Malaria: Ethnomedical perceptions and practice in an Adangbe farming community and implications for control,Agyepong,2002,1
10.2190/q50p-rc1t-bh9e-350n,Issues in Collaborative Research between Health Educators and Medical Scientists: A Case Study,Brieger,2005,1
10.1016/j.ijantimicag.2009.10.008,First-dose and steady-state population pharmacokinetics and pharmacodynamics of piperacillin by continuous or intermittent dosing in critically ill patients with sepsis,Roberts,2009,2
10.1038/nrmicro862,Antimicrobial pharmacodynamics: critical interactions of 'bug and drug',Drusano,2004,3
10.1128/aac.46.6.1665-1670.2002,Pharmacodynamics of the New Fluoroquinolone Gatifloxacin in Murine Thigh and Lung Infection Models,Andes,2002,1
10.1093/infdis/159.2.281,Comparative Antibiotic Dose-Effect Relations at Several Dosing Intervals in Murine Pneumonitis and Thigh-Infection Models,Leggett,2011,1
10.1097/00000542-197403000-00002,Inappropriate Response to Increased Plasma ADH during Mechanical Ventilation in Acute Respiratory Failure,Kumar,2006,1
10.1212/wnl.54.11.2153,Status epilepticus associated with cefepime,Dixit,2012,1
10.1086/598640,"Survey of Bloodstream Infections Due to Gram-Negative Bacilli: Frequency of Occurrence and Antimicrobial Susceptibility of Isolates Collected in the United States, Canada, and Latin America for the SENTRY Antimicrobial Surveillance Program, 1997",Pfaller,2009,1
10.1097/qco.0b013e328353105c,Antibiotic dosing in children in Europe,Barker,2012,1
10.1093/jac/dkf130,Pharmacodynamics of cefepime in patients with Gram-negative infections,Tam,2002,2
10.1016/j.mce.2004.12.005,"Steroid and xenobiotic receptor (SXR), cytochrome P450 3A4 and multidrug resistance gene 1 in human adult and fetal tissues",Miki,2005,1
10.1210/jc.2002-020670,Systemic Distribution of Steroid Sulfatase and Estrogen Sulfotransferase in Human Adult and Fetal Tissues,Miki,2002,1
10.1016/0960-0760(95)00015-r,Bacterial expression and characterization of a cDNA for human liver estrogen sulfotransferase,Falany,2002,1
10.1210/me.6.4.589,Estrogen sulfotransferase of the rat liver: complementary DNA cloning and age- and sex-specific regulation of messenger RNA,Demyan,2004,1
10.1517/17425255.2011.570331,The effects of obesity on drug pharmacokinetics in humans,Morrish,2011,1
10.2146/ajhp080200,Estimation of creatinine clearance in morbidly obese patients,Demirovic,2009,1
10.1007/s11892-007-0076-5,"Obesity, diabetes, and chronic kidney disease",Eknoyan,2008,1
10.1111/j.1467-789x.2007.00311.x,Health risks associated with overweight and obesity,Kopelman,2007,1
10.1038/35007508,Obesity as a medical problem,Kopelman,2017,1
10.1001/jama.1991.03470020057032,The Impact of Obesity on Left Ventricular Mass and Geometry,Lauer,2011,1
10.1542/peds.2009-2810,Day-by-Day Postnatal Survival in Very Low Birth Weight Infants,Mohamed,2010,1
10.1016/s0378-3782(98)00052-8,Outcomes of children of extremely low birthweight and gestational age in the 1990's,Hack,2002,1
10.1016/s1084-2756(96)80047-9,School-age outcomes of children of extremely low birthweight and gestational age,Hack,2006,1
10.1136/bmj.306.6894.1715,Functional abilities at age 4 years of children born before 29 weeks of gestation.,Johnson,2009,1
