DOI,author,title,times_seen
10.1128/aac.49.1.461-463.2005,Pharmacodynamic Evaluation of Extending the Administration Time of Meropenem using a Monte Carlo Simulation,Lomaestro,4
10.1016/s0924-8579(01)00406-x,Macrolides: pharmacokinetics and pharmacodynamics,Van Bambeke,8
10.1093/jac/47.4.500,Use of the t &gt; MIC to choose between different dosing regimens of beta-lactam antibiotics,Mouton,6
10.1097/mcc.0000000000000235,New antibiotics and antimicrobial combination therapy for the treatment of gram-negative bacterial infections,Bassetti,6
10.1086/516284,State‐of‐the‐Art Clinical Article: Pharmacokinetic/Pharmacodynamic Parameters: Rationale for Antibacterial Dosing of Mice and Men,Craig,13
10.1111/j.1365-2125.2011.04005.x,Population pharmacokinetics of ceftriaxone in critically ill septic patients: a reappraisal,Garot,4
10.1128/aac.22.5.816,Pharmacokinetic characteristics of intravenous ceftriaxone in normal adults,Pollock,4
10.2165/00003088-200645050-00004,Population Pharmacokinetics of Ceftriaxone and Pharmacodynamic Considerations in Haemodialysed Patients,Simon,7
10.1128/aac.01885-13,Clinical Population Pharmacokinetics and Toxicodynamics of Linezolid,Boak,4
10.1128/aac.43.1.163,"Pharmacokinetics in Serum and Leukocyte Exposures of Oral Azithromycin, 1,500 Milligrams, Given over a 3- or 5-Day Period in Healthy Subjects",Amsden,3
10.1128/aac.41.9.1910,Activities of vancomycin and teicoplanin against penicillin-resistant pneumococci in vitro and in vivo and correlation to pharmacokinetic parameters in the mouse peritonitis model,Knudsen,5
10.1093/jac/38.1.103,Pharmacokinetics of intravenous ciprofloxacin in normal and renally impaired subjects,Shah,6
10.1093/jac/dkx121,Pharmacodynamics of dose-escalated ‘front-loading’ polymyxin B regimens against polymyxin-resistant mcr-1-harbouring Escherichia coli,Smith,4
10.1128/aac.00903-09,"Pharmacokinetic/Pharmacodynamic Investigation of Colistin against
            <i>Pseudomonas aeruginosa</i>
            Using an
            <i>In Vitro</i>
            Model",Bergen,5
10.1093/jac/dkm511,"Comparison of once-, twice- and thrice-daily dosing of colistin on antibacterial effect and emergence of resistance: studies with Pseudomonas aeruginosa in an in vitro pharmacodynamic model",Bergen,3
10.1592/phco.26.9.1320,Application of Antimicrobial Pharmacodynamic Concepts into Clinical Practice: Focus on β-Lactam Antibiotics: Insights from the Society of Infectious Diseases Pharmacists,Lodise,8
10.1128/aac.31.11.1782,Effect of dose on serum pharmacokinetics of intravenous ciprofloxacin with identification and characterization of extravascular compartments using noncompartmental and compartmental pharmacokinetic models,Dudley,4
10.1093/jac/dkp434,In vitro pharmacodynamic models to determine the effect of antibacterial drugs,Gloede,9
10.1016/j.coph.2017.10.014,Ensuring quality pharmacokinetic analyses in antimicrobial drug development programs,Lakota,5
10.1007/bf01062551,Microbial pharmacodynamics of piperacillin in neutropenic mice of systematic infection due toPseudomonas aeruginosa,Zhi,7
10.1007/s40262-017-0602-9,Population Pharmacokinetic Model to Optimize Cefotaxime Dosing Regimen in Critically Ill Children,Béranger,1
10.1099/jmm.0.45994-0,Activity of moxifloxacin against Bacteroides fragilis and Escherichia coli in an in vitro pharmacokinetic/pharmacodynamic model employing pure and mixed cultures,Schaumann,4
10.1128/aac.39.4.1003,Pharmacokinetics of high-dose intravenous ciprofloxacin in young and elderly and in male and female subjects,Shah,3
10.1016/j.ijantimicag.2007.12.009,Evaluation of area under the inhibitory curve (AUIC) and time above the minimum inhibitory concentration (T&gt;MIC) as predictors of outcome for cefepime and ceftazidime in serious bacterial infections,McKinnon,4
10.1128/aac.01737-10,"Antimicrobial Activity of CXA-101, a Novel Cephalosporin Tested in Combination with Tazobactam against Enterobacteriaceae, Pseudomonas aeruginosa, and Bacteroides fragilis Strains Having Various Resistance Phenotypes",Sader,4
10.1016/j.ijantimicag.2017.04.008,Population pharmacokinetics of cefepime in febrile neutropenia: implications for dose-dependent susceptibility and contemporary dosing regimens,Rhodes,1
10.1093/infdis/155.1.93,Clinical Response to Aminoglycoside Therapy: Importance of the Ratio of Peak Concentration to Minimal Inhibitory Concentration,Moore,4
10.1080/1120009x.2004.11782371,The Role of PK/PD Parameters to Avoid Selection and Increase of Resistance: Mutant Prevention Concentration,Blondeau,3
10.1002/cpt1979253358,Simultaneous modeling of pharmacokinetics and pharmacodynamics: Application to<i>d</i>-tubocurarine,Sheiner,2
10.1007/bf00541533,Ceftriaxone pharmacokinetics during peritoneal dialysis,Koup,6
10.1016/j.clinthera.2016.06.015,Pharmacokinetic and Pharmacodynamic Principles of Anti-infective Dosing,Onufrak,2
10.1128/aac.37.5.1073,Pharmacodynamics of intravenous ciprofloxacin in seriously ill patients,Forrest,2
10.1016/j.coph.2017.09.010,Clinical pharmacokinetic–pharmacodynamic analyses: a critical element for developing antibacterial agents,Bhavnani,4
10.1086/420739,Use of Pharmacodynamic End Points in the Evaluation of Gatifloxacin for the Treatment of Acute Maxillary Sinusitis,Ambrose,3
10.1016/s0732-8893(02)00416-9,Pharmacodynamic profiling of continuously infused piperacillin/tazobactam against Pseudomonas aeruginosa using Monte Carlo analysis,Kuti,1
10.1128/aac.38.5.931,Killing of Pseudomonas aeruginosa during continuous and intermittent infusion of ceftazidime in an in vitro pharmacokinetic model,Mouton,3
10.1093/jac/25.suppl_a.73,The pharmacokinetics of azithromycin in human serum and tissues,Foulds,3
10.1001/jama.279.2.125,Pharmacodynamics of Levofloxacin,Preston,6
10.1016/j.pupt.2011.12.007,Bronchopulmonary pharmacokinetic and pharmacodynamic profiles of levofloxacin 750 mg once daily in adults undergoing treatment for acute exacerbation of chronic bronchitis,Nicolau,3
10.1159/000220525,Measurement and Interpretation of Certain Biopharmaceutic and Pharmacodynamic Parameters,Glbaldi,3
10.1016/s0924-8579(02)00029-8,How predictive is PK/PD for antibacterial agents?,Frimodt-Møller,1
10.1128/aac.42.7.1842,Dosing of Aminoglycosides To Rapidly Attain Pharmacodynamic Goals and Hasten Therapeutic Response by Using Individualized Pharmacokinetic Monitoring of Patients with Pneumonia Caused by Gram-Negative Organisms,Kashuba,1
10.1128/aac.27.3.375,Pharmacokinetics of ciprofloxacin after oral and parenteral administration,Höffken,2
10.1002/jps.2600600618,Pharmacodynamics of Chemotherapeutic Effects: Dose-Time-Response Relationships for Phase-Nonspecific Agents,Jusko,1
10.1128/aac.45.10.2793-2797.2001,"Pharmacodynamics of Fluoroquinolones against
            <i>Streptococcus pneumoniae</i>
            in Patients with Community-Acquired Respiratory Tract Infections",Ambrose,1
10.1016/j.bmc.2016.11.008,Animal models in the pharmacokinetic/pharmacodynamic evaluation of antimicrobial agents,Zhao,2
10.1159/000480902,"Comparison of the Pharmacokinetics of Five β-Lactam
Antibiotics between Neonatal and Adult Rats",Morita,4
10.1093/jac/dkl349,Pharmacokinetic-pharmacodynamic rationale for cefepime dosing regimens in intensive care units,Roos,2
10.1128/aac.40.3.784,"Alteration of postantibiotic effect during one dosing interval of tobramycin, simulated in an in vitro pharmacokinetic model",den Hollander,1
10.1371/journal.pone.0156131,Defining the Active Fraction of Daptomycin against Methicillin-Resistant Staphylococcus aureus (MRSA) Using a Pharmacokinetic and Pharmacodynamic Approach,Garonzik,1
10.1016/j.ijantimicag.2006.08.049,Pharmacokinetic/pharmacodynamic modeling of in vitro activity of azithromycin against four different bacterial strains,Treyaprasert,1
10.1016/s0149-2918(01)80046-1,In vitro activity and pharmacodynamics of azithromycin and clarithromycin against Streptococcus pneumoniae based on serum and intrapulmonary pharmacokinetics,Kays,2
10.1128/aac.42.4.927,Effect of Grapefruit Juice on Clarithromycin Pharmacokinetics,Cheng,1
10.1128/aac.38.10.2351,Pharmacodynamics of piperacillin alone and in combination with tazobactam against piperacillin-resistant and -susceptible organisms in an in vitro model of infection,Strayer,1
10.2165/00003088-199937050-00003,Clinical Pharmacokinetics of Clarithromycin,Rodvold,2
10.2165/00003088-199325030-00003,Clarithromycin Clinical Pharmacokinetics,Fraschini,1
10.1093/jac/dkw293,"Polymyxin B in combination with doripenem against heteroresistant
            <i>Acinetobacter baumannii</i>
            : pharmacodynamics of new dosing strategies",Rao,1
10.1128/aac.00881-09,"Attenuation of Colistin Bactericidal Activity by High Inoculum of
            <i>Pseudomonas aeruginosa</i>
            Characterized by a New Mechanism-Based Population Pharmacodynamic Model",Bulitta,4
10.1128/aac.01119-08,Bone Penetration of Amoxicillin and Clavulanic Acid Evaluated by Population Pharmacokinetics and Monte Carlo Simulation,Landersdorfer,2
10.1542/peds.2004-2294,Explaining the Poor Bacteriologic Eradication Rate of Single-Dose Ceftriaxone in Group A Streptococcal Tonsillopharyngitis: A Reverse Engineering Solution Using Pharmacodynamic Modeling,Blumer,1
10.1542/peds.108.5.1180,Unexplained Reduced Microbiological Efficacy of Intramuscular Benzathine Penicillin G and of Oral Penicillin V in Eradication of  Group A Streptococci From Children With Acute Pharyngitis,Kaplan,1
10.1016/s0924-8579(01)00474-5,Pharmacokinetics and pharmacodynamics of meropenem in critically ill patients,Kitzes-Cohen,1
10.1128/aac.50.4.1376-1383.2006,"Pharmacodynamics of a New Cephalosporin, PPI-0903 (TAK-599), Active against Methicillin-Resistant
            <i>Staphylococcus aureus</i>
            in Murine Thigh and Lung Infection Models: Identification of an In Vivo Pharmacokinetic-Pharmacodynamic Target",Andes,1
10.1016/j.diagmicrobio.2006.06.019,Pharmacodynamics of cefprozil against Haemophilus influenzae in an in vitro pharmacodynamic model,Smith,3
10.1128/aac.02089-15,Population Pharmacokinetics and Pharmacodynamics of Extended-Infusion Piperacillin and Tazobactam in Critically Ill Children,Nichols,1
10.2165/00003088-198611010-00005,Age-Associated Changes in Ceftriaxone Pharmacokinetics,Hayton,1
10.1128/aac.46.1.69-74.2002,"Pharmacodynamics of Gatifloxacin against
            <i>Streptococcus pneumoniae</i>
            in an In Vitro Pharmacokinetic Model: Impact of Area under the Curve/MIC Ratios on Eradication",Lister,1
10.1016/s0732-8893(98)00081-9,The prevalence of fluoroquinolone resistance among clinically significant respiratory tract isolates of Streptococcus pneumoniae in the United States and Canada—1997 results from the SENTRY Antimicrobial Surveillance Program,Doern,1
10.1128/aac.43.8.1901,"Susceptibilities of
            <i>Streptococcus pneumoniae</i>
            and
            <i>Haemophilus influenzae</i>
            to 10 Oral Antimicrobial Agents Based on Pharmacodynamic Parameters: 1997 U.S. Surveillance Study",Jacobs,1
10.1016/j.ejps.2021.105868,Population pharmacokinetics-pharmacodynamics of ceftazidime in neonates and young infants: Dosing optimization for neonatal sepsis,Li,1
10.2165/00044011-199713030-00005,"Comparison of the Plasma, Urine and Blister Fluid Pharmacokinetics of Clarithromycin and Azithromycin in Normal Subjects",Amsden,2
10.1016/s0891-5520(03)00065-5,"Basic pharmacodynamics of antibacterials with clinical applications to the use of β-lactams, glycopeptides, and linezolid",Craig,1
10.1093/jac/41.4.451,Pharmacodynamics of penicillin are unaffected by bacterial growth phases of Streptococcus pneumoniae in the mouse peritonitis model,Knudsen,1
10.1016/j.jcrc.2007.11.011,Ciprofloxacin pharmacokinetics in critically ill patients: A prospective cohort study,van Zanten,2
10.1177/106002809102501003,"Mathematical Examination of Dual Individualization Principles (I): Relationships between AUC above MIC and Area under the Inhibitory Curve for Cefmenoxime, Ciprofloxacin, and Tobramycin",Schentag,2
10.1128/aac.28.2.235,Multiple-dose pharmacokinetics of ciprofloxacin administered intravenously to normal volunteers,Gonzalez,1
10.1080/1120009x.2000.11782309,Fluoroquinolone Pharmacodynamics: Prospective Determination of Relationships Between Exposure and Outcome,Drusano,1
10.1128/aac.41.2.292,Antibiotic resistance among clinical isolates of Haemophilus influenzae in the United States in 1994 and 1995 and detection of beta-lactamase-positive strains resistant to amoxicillin-clavulanate: results of a national multicenter surveillance study,Doern,2
10.1016/s0002-9343(84)80073-x,"Cefmenoxime Efficacy, Safety, and Pharmacokinetics in Critical Care Patients with Nosocomial Pneumonia",Schentag,1
10.1097/00006454-199603000-00015,Pharmacokinetics and pharmacodynamics of antibiotics in otitis media,CRAIG,1
10.1093/jac/25.suppl_a.49,Pharmacokinetics of azithromycin in rats and dogs,Shepard,1
