DOI,title,author,year,times_seen
10.1128/aac.31.7.1054,Comparative study with enoxacin and netilmicin in a pharmacodynamic model to determine importance of ratio of antibiotic peak concentration to MIC for bactericidal activity and emergence of resistance,Blaser,2012,2
10.1111/j.1528-1157.1979.tb04779.x,Valproic Acid Binding to Human Serum Albumin and Determination of Free Fraction in the Presence of Anticonvulsants and Free Fatty Acids,Patel,2007,1
10.1016/s0022-2275(20)39568-7,Kinetic analysis of the oxidation of palmitate-1-14C in man during prolonged heavy muscular exercise,Havel,2021,1
10.1152/ajplegacy.1959.196.2.238,Complete solution of the three-compartment model in steady state after single injection of radioactive tracer,Skinner,2017,1
10.1097/pcc.0000000000002198,Surviving Sepsis Campaign International Guidelines for the Management of Septic Shock and Sepsis-Associated Organ Dysfunction in Children,Weiss,2020,3
10.1001/jama.2018.12179,Antibiotics for Sepsis—Finding the Equilibrium,Klompas,2018,1
10.1186/s13054-015-1035-1,Likelihood of infection in patients with presumed sepsis at the time of intensive care unit admission: a cohort study,Klein Klouwenberg,2015,1
10.1164/rccm.201307-1376oc,Electronic Implementation of a Novel Surveillance Paradigm for Ventilator-associated Events. Feasibility and Validation,Klein Klouwenberg,2014,1
10.1097/ccm.0b013e31822d7913,A comparison of ventilator-associated pneumonia rates as identified according to the National Healthcare Safety Network and American College of Chest Physicians criteria*,Skrupky,2011,1
10.1086/587103,Risk of Misleading Ventilator‐Associated Pneumonia Rates with Use of Standard Clinical and Microbiological Criteria,Klompas,2008,1
10.1097/01.ccm.0000181731.53912.d9,Clinical and economic consequences of ventilator-associated pneumonia: A systematic review,Safdar,2005,1
10.1164/ajrccm.152.6.8520743,"The role of intragastric acidity and stress ulcus prophylaxis on colonization and infection in mechanically ventilated ICU patients. A stratified, randomized, double-blind study of sucralfate versus antacids.",Bonten,2013,1
10.1093/qjmed/77.3.1229,Valproate Metabolism During Hepatotoxicity Associated with the Drug,EADIE,2012,1
10.1093/infdis/jiaa118,Optimizing Pharmacokinetics-Pharmacodynamics of Antimicrobial Management in Patients with Sepsis: A Review,Phe,2020,2
10.1097/ccm.0b013e3181a0054d,A systematic review on clinical benefits of continuous administration of β-lactam antibiotics*,Roberts,2009,1
10.1016/j.patbio.2005.06.002,Intérêt pharmacodynamique de la perfusion continue vs l'administration intermittente de ceftazidime dans les pneumonies nosocomiales sévères,Cousson,2005,1
10.2165/00003088-199528020-00005,The Importance of Pharmacokinetic/Pharmacodynamic Surrogate Markers to Outcome,Hyatt,2009,1
10.1093/infdis/158.4.831,Correlation of Antimicrobial Pharmacokinetic Parameters with Therapeutic Efficacy in an Animal Model,Vogelman,2011,1
10.1186/s13054-018-2217-4,"Ascorbic acid, corticosteroids, and thiamine in sepsis: a review of the biologic rationale and the present state of clinical evaluation",Moskowitz,2018,1
10.1097/ccm.0b013e3181961bff,Pharmacokinetic issues for antibiotics in the critically ill patient,Roberts,2009,4
10.1097/01.ccm.0000098031.24329.10,Impact of adequate empirical antibiotic therapy on the outcome of patients admitted to the intensive care unit with sepsis*,Garnacho-Montero,2003,1
10.1007/bf01709273,Polymicrobial bacteremia in critically ill patients,Rello,2005,1
10.1097/00000441-198009000-00002,Polymicrobial Sepsis: An Analysis of 184 Cases Using Log Linear Models,Mackowiak,2006,1
10.1016/s0022-3476(78)80508-3,Polymicrobial bacteremia associated with pharyngotonsillitis,Rosenfeld,2007,1
10.1093/jac/dkx121,Pharmacodynamics of dose-escalated ‘front-loading’ polymyxin B regimens against polymyxin-resistant mcr-1-harbouring Escherichia coli,Smith,2017,1
10.1128/aac.01267-16,"Detection of
            <i>mcr-1</i>
            among Escherichia coli Clinical Isolates Collected Worldwide as Part of the SENTRY Antimicrobial Surveillance Program in 2014 and 2015",Castanheira,2016,1
10.1016/s1473-3099(15)00424-7,Emergence of plasmid-mediated colistin resistance mechanism MCR-1 in animals and human beings in China: a microbiological and molecular biological study,Liu,2015,2
10.1128/aac.02155-12,"Genetic Characterization of IncI2 Plasmids Carrying
            <i>bla</i>
            <sub>CTX-M-55</sub>
            Spreading in both Pets and Food Animals in China",Lv,2013,1
10.1016/j.mimet.2005.03.018,Identification of plasmids by PCR-based replicon typing,Carattoli,2005,1
10.1007/bf00286181,The region essential for efficient autonomous replication of pSa in Escherichia coli,Okumura,2004,1
10.1073/pnas.82.18.6090,Protein RepC is involved in copy number control of the broad host range plasmid RSF1010.,Haring,2006,1
10.1093/cid/ciw839,Dosing guidance for intravenous colistin in critically-ill patients,Nation,2016,3
10.1161/01.cir.95.7.1844,Bridge Experience With Long-term Implantable Left Ventricular Assist Devices,Oz,2012,1
10.1001/jama.1986.03370140090030,Donor Availability as the Primary Determinant of the Future of Heart Transplantation,Evans,2011,1
10.1002/jcph.1128,Optimizing Antibiotic Drug Therapy in Pediatrics: Current State and Future Needs,Le,2018,3
10.1038/pr.2015.119,The ontogeny of P-glycoprotein in the developing human blood–brain barrier: implication for opioid toxicity in neonates,Lam,2015,1
10.1007/s40262-018-0682-1,Piperacillin Population Pharmacokinetics and Dosing Regimen Optimization in Critically Ill Children with Normal and Augmented Renal Clearance,Béranger,2018,3
10.1097/pcc.0000000000001228,Augmented Renal Clearance Using Population-Based Pharmacokinetic Modeling in Critically Ill Pediatric Patients*,Avedissian,2017,1
10.3109/08880018.2013.810317,"Cystatin C, Beta2 Microglobulin, N-Acetyl-beta-D-glucosaminidase, Retinol-Binding Protein, and Endothelin 1 Levels in the Evaluation of Sickle Cell Disease Nephropathy",Unal,2013,1
10.2215/cjn.00740110,Urinary Biomarkers in the Clinical Prognosis and Early Detection of Acute Kidney Injury,Koyner,2010,1
10.2215/cjn.02860608,Diagnostic Value of Urine Microscopy for Differential Diagnosis of Acute Kidney Injury in Hospitalized Patients,Perazella,2008,1
10.1592/phco.26.9.1320,Application of Antimicrobial Pharmacodynamic Concepts into Clinical Practice: Focus on β-Lactam Antibiotics: Insights from the Society of Infectious Diseases Pharmacists,Lodise,2006,4
10.1128/aac.43.3.623,Optimizing Aminoglycoside Therapy for Nosocomial Pneumonia Caused by Gram-Negative Bacteria,Kashuba,2018,2
10.1093/jac/dkg468,Steady-state pharmacokinetics of intravenous colistin methanesulphonate in patients with cystic fibrosis,Li,2003,1
10.1128/aac.49.8.3382-3386.2005,"Hypermutation Is a Key Factor in Development of Multiple-Antimicrobial Resistance in
            <i>Pseudomonas aeruginosa</i>
            Strains Causing Chronic Lung Infections",Maciá,2005,1
10.1016/s1368-7646(03)00041-4,The role of mutators in the emergence of antibiotic-resistant bacteria,Chopra,2003,1
10.1093/genetics/162.3.1055,Enrichment and Elimination of <i>mutY</i> Mutators in <i>Escherichia coli</i> Populations,Notley-McRobb,2021,1
10.1093/genetics/152.2.485,"Mutators, Population Size, Adaptive Landscape and the Adaptation of Asexual Populations of Bacteria",Tenaillon,2021,1
10.1146/annurev.mi.40.100186.002055,In Situ Bacterial Metabolism and Colon Mutagens,Goldin,2003,1
10.1128/aac.02831-15,Paradoxical Effect of Polymyxin B: High Drug Exposure Amplifies Resistance in Acinetobacter baumannii,Tsuji,2016,2
10.1016/s1473-3099(11)70059-7,Dissemination of NDM-1 positive bacteria in the New Delhi environment and its implications for human health: an environmental point prevalence study,Walsh,2011,1
10.1099/mic.0.28255-0,"Subcellular localization and functional domains of the coupling protein, TraG, from IncHI1 plasmid R27",Gunton,2005,1
10.1016/s0966-842x(00)01792-3,Bacterial type IV secretion: conjugation systems adapted to deliver effector molecules to host cells,Christie,2002,1
10.1073/pnas.120156997,"Transferred DNA (T-DNA)-associated proteins of
            <i>Agrobacterium tumefaciens</i>
            are exported independently of
            <i>virB</i>",Chen,2002,1
10.1128/jb.179.10.3085-3094.1997,Agrobacterium tumefaciens T-complex transport apparatus: a paradigm for a new family of multifunctional transporters in eubacteria,Christie,2016,1
10.1073/pnas.93.25.14648,"<i>cag</i>
            , a pathogenicity island of
            <i>Helicobacter pylori,</i>
            encodes type I-specific and disease-associated virulence factors",Censini,2002,1
10.1093/nar/22.22.4756,Intrinsic and extrinsic approaches for detecting genes in a bacterial genome,Borodovsky,2007,1
10.1016/j.jchromb.2004.09.018,Simultaneous determination of amoxicillin and clavulanic acid in human plasma by HPLC–ESI mass spectrometry,YOON,2004,1
10.1001/archsurg.1983.01390030017003,Prognosis in Generalized Peritonitis,Bohnen,2011,1
10.1016/s1473-3099(17)30615-1,Prolonged versus short-term intravenous infusion of antipseudomonal β-lactams for patients with sepsis: a systematic review and meta-analysis of randomised trials,Vardakas,2017,2
10.1002/14651858.cd008481.pub2,Continuous versus intermittent infusions of antibiotics for the treatment of severe acute infections,Shiu,2013,1
10.5414/cpp43360,Cefepime in critically ill patients: continuous infusion vs. an intermittent dosing regimen,Georges,2011,1
10.1128/aac.01885-13,Clinical Population Pharmacokinetics and Toxicodynamics of Linezolid,Boak,2014,1
10.1128/aac.49.12.5024-5032.2005,In Vitro Activity of Linezolid against Key Gram-Positive Organisms Isolated in the United States: Results of the LEADER 2004 Surveillance Program,Draghi,2005,1
10.7326/0003-4819-138-2-200301210-00015,Linezolid: The First Oxazolidinone Antimicrobial,Moellering,2013,1
10.5863/1551-6776-22.4.276,Population Pharmacokinetics and Pharmacodynamic Target Attainment of Meropenem in Critically Ill Young Children,Cies,2017,3
10.1086/514622,The Pharmacodynamics of β‐Lactams,Turnidge,2007,2
10.1111/j.1365-2125.2004.02225.x,Prediction of drug disposition in infants and children by means of physiologically based pharmacokinetic (PBPK) modelling: theophylline and midazolam as model drugs,Bjorkman,2005,1
10.1097/ccm.0b013e318180fe62,Antibiotic resistance—What’s dosing got to do with it?,Roberts,2009,1
10.1093/jac/dkl135,Selection of ciprofloxacin resistance in Escherichia coli in an in vitro kinetic model: relation between drug exposure and mutant prevention concentration,Olofsson,2006,1
10.1093/cid/ciu027,DALI: Defining Antibiotic Levels in Intensive Care Unit Patients: Are Current  -Lactam Antibiotic Doses Sufficient for Critically Ill Patients?,Roberts,2014,5
10.1177/0310057x9302100206,Aminoglycoside Volume of Distribution and Illness Severity in Critically Ill Septic Patients,Marik,2019,1
10.1097/00007691-198503000-00003,An Overview of Amikacin,Ristuccia,2006,1
10.1016/j.coph.2017.09.004,In vivo infection models in the pre-clinical pharmacokinetic/pharmacodynamic evaluation of antimicrobial agents,Andes,2017,3
10.1128/aac.03572-14,"Impact of MIC Range for Pseudomonas aeruginosa and Streptococcus pneumoniae on the Ceftolozane
            <i>In Vivo</i>
            Pharmacokinetic/Pharmacodynamic Target",Lepak,2014,1
10.1128/aac.06349-11,Pharmacokinetics and Safety of Intravenous Ceftolozane-Tazobactam in Healthy Adult Subjects following Single and Multiple Ascending Doses,Miller,2012,1
10.1086/595011,"Bad Bugs, No Drugs: No ESKAPE! An Update from the Infectious Diseases Society of America",Boucher,2008,2
10.1097/pcc.0000000000001497,Ceftaroline for Suspected or Confirmed Invasive Methicillin-Resistant Staphylococcus aureus,Cies,2018,2
10.1097/mcc.0000000000000235,New antibiotics and antimicrobial combination therapy for the treatment of gram-negative bacterial infections,Bassetti,2015,2
10.1056/nejmoa1406617,Lower versus Higher Hemoglobin Threshold for Transfusion in Septic Shock,Holst,2014,1
10.1097/ccm.0b013e3181844677,Efficacy of red blood cell transfusion in the critically ill: A systematic review of the literature*,Marik,2008,1
10.1097/01.ccm.0000114810.30477.c3,Red blood cell transfusion and ventilator-associated pneumonia: A potential link?,Shorr,2004,1
10.1001/jama.289.15.1941,Clinical Outcomes Following Institution of the Canadian Universal Leukoreduction Program for Red Blood Cell Transfusions,Hébert,2003,1
10.1128/aac.00654-17,Neurotoxic Concentration of Piperacillin during Continuous Infusion in Critically Ill Patients,Quinton,2017,4
10.1128/aac.00430-09,"Population Pharmacokinetics of Ceftazidime in Intensive Care Unit Patients: Influence of Glomerular Filtration Rate, Mechanical Ventilation, and Reason for Admission",Georges,2009,3
10.1111/j.1365-2125.2000.00179.x,"Pharmacokinetic-pharmacodynamic evaluation of ceftazidime continuous infusion <i>vs</i>
 intermittent bolus injection in septicaemic melioidosis",Angus,2009,2
10.1002/j.1875-9114.1985.tb03424.x,"Antimicrobial Activity, Pharmacokinetics, Therapeutic Indications and Adverse Reactions of Ceftazidime",Gentry,2015,1
10.1093/jac/8.suppl_b.119,Comparative in-vitro activity of cefsulodin and ceftazidime against ticarcillin-resistant Pseudomonas aeruginosa,Philippon,2012,1
10.1128/aac.01480-13,"<i>In Vivo</i>
            Emergence of Colistin Resistance in Klebsiella pneumoniae Producing KPC-Type Carbapenemases Mediated by Insertional Inactivation of the PhoQ/PhoP
            <i>mgrB</i>
            Regulator",Cannatelli,2013,1
10.1007/s12223-011-0057-6,KPC-2-producing Klebsiella pneumoniae isolated from a Czech patient previously hospitalized in Greece and in vivo selection of colistin resistance,Hrabák,2011,1
10.2807/ese.14.40.19349-en,"First isolations of KPC-2-carrying ST258 Klebsiella pneumoniae strains in Finland, June and August 2009",Österblad,2021,1
10.1128/aac.00881-09,"Attenuation of Colistin Bactericidal Activity by High Inoculum of
            <i>Pseudomonas aeruginosa</i>
            Characterized by a New Mechanism-Based Population Pharmacodynamic Model",Bulitta,2010,2
10.1016/j.ijantimicag.2004.10.001,Evaluation of colistin as an agent against multi-resistant Gram-negative bacteria,Li,2004,1
10.1016/s0021-9673(01)85266-3,Thin-layer chromatographic method for the identification of the polymyxins,Thomas,2002,1
10.1016/s0021-9673(00)99995-3,Improved high-performance liquid chromatographic method for polypeptide antibiotics and its application to study the effects of treatments to reduce microbial levels in bacitracin powder,Tsuji,2002,1
10.1016/s0021-9673(00)90888-4,"Quantitative high-pressure liquid chromatographic analysis of bacitracin, a polypeptide antibiotic",Tsuji,2002,1
10.1016/0003-2697(74)90437-0,Separation of proteins by high-speed pressure liquid chromatography,Shechter,2004,1
10.1093/cid/ciz1155,Monitoring Ceftazidime-Avibactam and Aztreonam Concentrations in the Treatment of a Bloodstream Infection Caused by a Multidrug-Resistant Enterobacter sp. Carrying Both Klebsiella pneumoniae Carbapenemase–4 and New Delhi Metallo-β-Lactamase–1,Yasmin,2019,2
10.1016/j.bmcl.2007.06.089,A minimalistic approach to identify substrate binding features in B1 Metallo-β-lactamases,Poeylaut-Palena,2007,1
10.1128/aac.45.3.660-663.2001,Standard Numbering Scheme for Class B β-Lactamases,Galleni,2002,1
10.1016/j.cmi.2015.06.007,Use of old antibiotics now and in the future from a pharmacokinetic/pharmacodynamic perspective,Muller,2015,3
10.1136/archdischild-2014-307297,Reducing hospital-acquired infections and improving the rational use of antibiotics in a developing country: an effectiveness study,Murni,2014,1
10.1177/1757177411402864,Hand hygiene and transmission of <i>Pseudomonas aeruginosa</i> on hands in a hospital environment,Jones,2011,1
10.1016/j.ejps.2021.105868,Population pharmacokinetics-pharmacodynamics of ceftazidime in neonates and young infants: Dosing optimization for neonatal sepsis,Li,2021,2
10.1086/344653,Prevention of Resistance: A Goal for Dose Selection for Antimicrobial Agents,Drusano,2003,1
10.1001/archinte.1989.00390100083020,Evaluation of Intravenous Ciprofloxacin in Patients With Nosocomial Lower Respiratory Tract Infections,Peloquin,2011,1
10.1016/j.bmc.2016.11.008,Animal models in the pharmacokinetic/pharmacodynamic evaluation of antimicrobial agents,Zhao,2016,1
10.1128/aac.31.11.1803,Resistance occurring after fluoroquinolone therapy of experimental Pseudomonas aeruginosa peritonitis,Michéa-Hamzehpour,2012,1
10.1038/42701,Evolution of high mutation rates in experimental populations of E. coli,Sniegowski,2002,1
10.1093/genetics/137.4.1139,Fluctuation tests: how reliable are the estimates of mutation rates?,Stewart,2021,1
10.1001/archinte.1971.00310130124022,Factors Affecting Mortality of Gram-Negative Rod Bacteremia,Bryant,2011,1
10.3181/00379727-97-23740,Synaptic Effects of Systemic  -Amino Butyric Acid in Cortical Regions of Increased Vascular Permeability,Purpura,2013,1
10.1136/archdischild-2019-317342,Serum amoxicillin levels in young infants (0–59 days) with sepsis treated with oral amoxicillin,Mir,2020,3
10.1128/aac.45.11.3029-3036.2001,Development and Validation of Limited-Sampling Strategies for Predicting Amoxicillin Pharmacokinetic and Pharmacodynamic Parameters,Suarez-Kurtz,2002,1
10.1002/bmc.1130070407,Simple analysis of amoxycillin in plasma by high performance liquid chromatography with internal standardization and ultraviolet detection,Charles,2005,1
10.1128/aac.22.5.753,"Assay of amoxicillin and clavulanic acid, the components of Augmentin, in biological fluids with high-performance liquid chromatography",Foulstone,2012,1
10.1152/ajplegacy.1959.197.1.34,Effects of cold acclimation on hepatic carbohydrate and lipid metabolism,Felts,2017,1
10.1128/aac.49.8.3593-3597.2005,"Integron-Encoded GES-Type Extended-Spectrum β-Lactamase with Increased Activity toward Aztreonam in
            <i>Pseudomonas aeruginosa</i>",Poirel,2005,1
10.1042/bj2760269,A standard numbering scheme for the class A <i>β</i>-lactamases,Ambler,2015,1
10.1592/phco.23.3.291.32110,"Integration of Population Pharmacokinetics, a Pharmacodynamic Target, and Microbiologic Surveillance Data to Generate a Rational Empiric Dosing Strategy for Cefepime against<i>Pseudomonas aeruginosa</i>",Tam,2004,1
10.1128/aac.45.1.13-22.2001,Use of Preclinical Data for Selection of a Phase II/III Dose for Evernimicin and Identification of a Preclinical MIC Breakpoint,Drusano,2002,2
10.1093/infdis/149.1.23,Risk Factors for the Development of Auditory Toxicity in Patients Receiving Aminoglycosides,Moore,2011,1
10.1345/aph.1g467,Meropenem by Continuous Versus Intermittent Infusion in Ventilator-Associated Pneumonia due to Gram-Negative Bacilli,Lorente,2006,1
10.1159/000180580,Prediction of Creatinine Clearance from Serum Creatinine,Cockcroft,2008,2
10.1128/aac.00053-14,Intrapulmonary Posaconazole Penetration at the Infection Site in an Immunosuppressed Murine Model of Invasive Pulmonary Aspergillosis Receiving Oral Prophylactic Regimens,Seyedmousavi,2014,1
10.1164/ajrccm/147.1.148,Bronchoalveolar Lavage: Quantitation of Intraalveolar Fluid?,von Wichert,2011,1
10.1016/0034-5687(78)90104-4,The normal human lung: ultrastructure and morphometric estimation of diffusion capacity,Gehr,2003,1
10.1152/jappl.1967.23.5.694,Vertical gradient of alveolar size in lungs of dogs frozen intact.,Glazier,2017,1
10.1093/cid/cit334,Population Pharmacokinetics of Intravenous Polymyxin B in Critically Ill Patients: Implications for Selection of Dosage Regimens,Sandri,2013,1
10.1016/s1473-3099(06)70580-1,Colistin: the re-emerging antibiotic for multidrug-resistant Gram-negative bacterial infections,Li,2006,1
10.1016/s0732-8893(01)00258-9,Interactions of colistin and rifampin on multidrug-resistant Acinetobacter baumannii,Giamarellos-Bourboulis,2002,1
10.1128/aac.44.8.2211-2213.2000,"Comparative Activities of Ciprofloxacin, Clinafloxacin, Gatifloxacin, Gemifloxacin, Levofloxacin, Moxifloxacin, and Trovafloxacin against Epidemiologically Defined
            <i>Acinetobacter baumannii</i>
            Strains",Heinemann,2002,1
10.1128/jcm.33.5.1402-1407.1995,Comparison of ribotyping and pulsed-field gel electrophoresis for molecular typing of Acinetobacter isolates,Seifert,2020,1
10.5863/1551-6776-22.6.467,Therapeutic Drug Monitoring of Prolonged Infusion Aztreonam for Multi-Drug Resistant Pseudomonas aeruginosa: A Case Report,Cies,2017,1
10.1097/ccm.0000000000002817,β-lactam Therapeutic Drug Management in the PICU*,Cies,2017,1
10.1183/09031936.00149508,Feedback dose alteration significantly affects probability of pathogen eradication in nosocomial pneumonia,Scaglione,2009,1
